org,name,language,license,version,has_codemeta,has_citation,has_zenodo
jpgattuso,seacarb-git,R,NA,v3.2.16,FALSE,FALSE,FALSE
alexanderkroner,saliency,Python,MIT,NA,FALSE,FALSE,FALSE
ThanhHuy-Le,AK_FK_NSK_DataSetAndClassifier,NA,MIT,NA,FALSE,FALSE,FALSE
giakou4,pyfeats,Python,MIT,pyfeats,FALSE,FALSE,FALSE
glow250,Code2Seq,Python,MIT,NA,FALSE,FALSE,FALSE
ContinualAI,avalanche,Python,MIT,v0.1.0,FALSE,FALSE,FALSE
koeppl,skylinebreaker,Java,NA,NA,FALSE,FALSE,FALSE
usmaan0311,RNSpectra.jl,Julia,MIT,NA,FALSE,FALSE,FALSE
FamilyOfficeOrg,whitepaper-template,TeX,CC0-1.0,0.4.0,FALSE,FALSE,FALSE
darkushin,KinderGuardian,Python,NA,NA,FALSE,FALSE,FALSE
Research-Squirrel-Engineers,ELSAiotoolkit,NA,MIT,NA,FALSE,FALSE,FALSE
bkuhlmann,navigator,Ruby,NA,v3.0.0,FALSE,FALSE,FALSE
bkuhlmann,gemsmith,Ruby,NA,v11.3.0,FALSE,FALSE,FALSE
PratyushRogers,drawio-collabnow,JavaScript,Apache-2.0,NA,FALSE,FALSE,FALSE
ark93-cosmo,NeutrinoOscillation-H0Tension,Mathematica,NA,NA,FALSE,FALSE,FALSE
ipelupessy,amuse-framework,AMPL,Apache-2.0,NA,FALSE,FALSE,TRUE
se2p,pynguin,Python,NA,v0.17.0,FALSE,FALSE,TRUE
baxtree,subaligner,Python,MIT,v0.2.3,FALSE,FALSE,FALSE
Distancia-COVID,Distancia-Covid-Open-Data,NA,NA,v1.2.0,FALSE,FALSE,FALSE
yulanvanoppen,ZIBGe-GLMM,Roff,NA,v1.0.2,FALSE,FALSE,FALSE
WU-BIMAC,4DNMicroscopyMetadataReader,Java,GPL-3.0,v2.01,FALSE,FALSE,FALSE
ailich,MultiscaleDTM,R,NA,v0.4.2,FALSE,FALSE,FALSE
VIB-PSB,ksrates,Python,GPL-3.0,v1.1.2,FALSE,FALSE,FALSE
rmvanhees,pyspex,Python,BSD-3-Clause,v1.1.15,FALSE,FALSE,FALSE
guillaume-longatte,encapsulation_prevision,Mathematica,NA,NA,FALSE,FALSE,FALSE
Clinical-Genomics,scout,Python,BSD-3-Clause,v4.51,FALSE,FALSE,FALSE
MedVisBonn,eyepy,Python,MIT,v0.6.3,FALSE,FALSE,FALSE
mattjurenka,qml-capstone,Jupyter Notebook,NA,NA,FALSE,FALSE,FALSE
rikhuijzer,PowerAnalyses.jl,Julia,MIT,v0.2.2,FALSE,FALSE,FALSE
MathewBiddle,coawst,C,BSD-3-Clause,v1.2,FALSE,FALSE,FALSE
kimianoorbakhsh,pointcloud-analysis,Python,MIT,NA,FALSE,FALSE,FALSE
EFS-OpenSource,OSC-Generator,Python,Apache-2.0,0.1.0,FALSE,FALSE,FALSE
cicirello,InteractiveBinPacking,Java,GPL-3.0,v3.1.2,FALSE,FALSE,TRUE
vsumaria,Pt_CO_steps_NNP,Python,NA,NA,FALSE,FALSE,FALSE
anniepyim,Cell-Count-OpenCV,HTML,MIT,NA,FALSE,FALSE,FALSE
kandula92,testing_bare_02,C++,Apache-2.0,NA,FALSE,FALSE,TRUE
facebookresearch,CompilerGym,Python,MIT,v0.2.3,FALSE,FALSE,FALSE
markus-kivioja,GpuDecGpe,C++,GPL-3.0,v1.0-alpha,FALSE,FALSE,FALSE
glotzerlab,signac-flow,Python,BSD-3-Clause,v0.18.1,FALSE,FALSE,TRUE
Qutlin,Qutlin,Kotlin,NA,NA,FALSE,FALSE,FALSE
ssm123ssm,contagion,HTML,MIT,v2.0,FALSE,FALSE,FALSE
zacjohnston,flash_snowglobes,Python,MIT,v0.3.0,FALSE,FALSE,FALSE
GitZWH-hub,DeepLearning,Python,NA,NA,FALSE,FALSE,FALSE
tschaffter,genenetweaver,Java,NA,3.1,FALSE,FALSE,FALSE
JacquesCarette,Drasil,Haskell,BSD-2-Clause,v0.1-alpha,FALSE,FALSE,FALSE
seanpm2001,SeansLifeArchive_Images_AdCap,C++,GPL-3.0,M5V1.0B,FALSE,FALSE,FALSE
awiegel,PaSyPy,Python,MIT,NA,FALSE,FALSE,FALSE
garestrear,Curso_de_Python,Jupyter Notebook,NA,NA,FALSE,FALSE,FALSE
data-centric-ai,dcbench,Jupyter Notebook,Apache-2.0,v-0.0.1-beta,FALSE,FALSE,FALSE
RenanMoraesCardoso,Projeto,TeX,NA,NA,FALSE,FALSE,FALSE
PeteJWatson,ggircal,R,LGPL-3.0,v.1.5-21,FALSE,FALSE,FALSE
greenelab,lab-website-template,SCSS,BSD-3-Clause,v0.6,FALSE,FALSE,FALSE
extratone,iOSSystemSounds,HTML,NA,NA,FALSE,FALSE,FALSE
askoj,owb_product_numerical_analysis,Jupyter Notebook,NA,NA,FALSE,FALSE,FALSE
bkuhlmann,marameters,Ruby,NA,0.3.0,FALSE,FALSE,FALSE
renegr87,renegr87,Go,Apache-2.0,v2.4.2,FALSE,FALSE,FALSE
robert-swanson,Four-Year-Plan-Evaluation-System,Java,NA,NA,FALSE,FALSE,FALSE
MengFanxing1223,swin,Python,Apache-2.0,NA,FALSE,FALSE,FALSE
sicara,easy-few-shot-learning,Python,MIT,v1.0.0,FALSE,FALSE,FALSE
miguelrgranda,verbose-octo-invention,Python,GPL-3.0,NA,FALSE,FALSE,FALSE
govertb,TiledMultiGPUVisualization,C++,NA,v0.0.1,FALSE,FALSE,FALSE
jemand771,test,Python,NA,test2,FALSE,FALSE,FALSE
ekehoe32,orthrus,HTML,GPL-3.0,v1.6-alpha,FALSE,FALSE,FALSE
agnes-riviere,calibration_molonari_mini,R,NA,V2,FALSE,FALSE,FALSE
saifkhichi96,bcsd,Python,GPL-3.0,NA,FALSE,FALSE,FALSE
v-i-n-a-y,intensity_blackbody,MATLAB,NA,NA,FALSE,FALSE,FALSE
HighCWu,pixel-guide-diffusion-for-anime-colorization,Python,MIT,v1.0.0,FALSE,FALSE,FALSE
ashutoshraman,BME580_Final_Project,HTML,NA,NA,FALSE,FALSE,FALSE
SaminGroup,Dolezal-SlabGenerator,Python,NA,NA,FALSE,FALSE,FALSE
PhoenixDL,rising,Jupyter Notebook,MIT,v0.2.2,FALSE,FALSE,FALSE
Joscolgan,sphaerularia_rnaseq,Shell,GPL-3.0,NA,FALSE,FALSE,FALSE
lamastex,TDAOnABrainNetwork,TeX,Unlicense,NA,FALSE,FALSE,FALSE
TissueImageAnalytics,tiatoolbox,Python,GPL-3.0,v1.0.1,FALSE,FALSE,FALSE
GMunari,DataLogger,C++,NA,NA,FALSE,FALSE,FALSE
agilescientific,welly,HTML,Apache-2.0,v0.5.2,FALSE,FALSE,FALSE
zachtyll,R7003E,HTML,MIT,NA,FALSE,FALSE,FALSE
AndrewIOM,cottongrass,F#,MPL-2.0,NA,FALSE,FALSE,FALSE
intsuc,inside-out,Lean,MIT,NA,FALSE,FALSE,FALSE
jckantor,Siemens-Star,Jupyter Notebook,NA,NA,FALSE,FALSE,FALSE
bkuhlmann,auto_injector,Ruby,NA,0.3.0,FALSE,FALSE,FALSE
keithgroup,qa-atoms-dimers,Jupyter Notebook,MIT,v1.0.0,FALSE,FALSE,FALSE
AvivYaish,PHANTOM,Python,NA,NA,FALSE,FALSE,FALSE
JuliaSmoothOptimizers,DCISolver.jl,Julia,NA,v0.2.7,FALSE,FALSE,FALSE
puzzlef,pagerank-cuda-optimization-split-components,C++,MIT,1.0.0,FALSE,FALSE,FALSE
munterfi,glacier-flow-model,Python,MIT,v0.2.0,FALSE,FALSE,FALSE
kobejean,lar,C++,NA,v0.8.3,FALSE,FALSE,FALSE
patrickmon38,n2o-isotope-model,HTML,NA,Pre-Release2,FALSE,FALSE,FALSE
paulsengroup,modle,C++,NA,v1.0.0-rc.3,FALSE,FALSE,FALSE
h-cel,ImpactofBiasNonstationarity,MATLAB,GPL-3.0,1.0,FALSE,FALSE,FALSE
rbouadjenek,deakin-ai-challenge2022,Jupyter Notebook,Apache-2.0,NA,FALSE,FALSE,FALSE
serious-games-darmstadt,MovementAssessmentWithTeslasuit,C#,NA,NA,FALSE,FALSE,FALSE
cvieiram,learnRResources,NA,NA,learnR,FALSE,FALSE,FALSE
lauraluebbert,confocal_z-stack_analysis,Jupyter Notebook,MIT,v1.0.0,FALSE,FALSE,FALSE
PySilentSubstitution,pysilsub,Jupyter Notebook,MIT,NA,FALSE,FALSE,FALSE
modal-inria,cfda,R,NA,v0.9.12,FALSE,FALSE,FALSE
karosc,testSWMM,C,NA,NA,FALSE,FALSE,FALSE
franneck94,UdemyCppPro_Template,CMake,NA,NA,FALSE,FALSE,FALSE
StefanoDeAngelis,SMEFT-operators,Mathematica,GPL-3.0,NA,FALSE,FALSE,FALSE
SvenMarcus,hpc-rocket,Python,MIT,NA,FALSE,FALSE,FALSE
kriskwiatkowski,pqc,Assembly,BSD-3-Clause,v0.0.1,FALSE,FALSE,FALSE
Alislee-github,fruitgenomics,SCSS,BSD-3-Clause,NA,FALSE,FALSE,FALSE
Phabrico,Phabrico,JavaScript,Apache-2.0,22.65.23480.4401,FALSE,FALSE,FALSE
patrickCNMartin,Vesalius,R,GPL-3.0,Release_1.0.0,FALSE,FALSE,FALSE
valerius21,x_mean,Jupyter Notebook,NA,v.0.0.1,FALSE,FALSE,FALSE
laserlight-cell,IBP,MATLAB,GPL-3.0,NA,FALSE,FALSE,FALSE
neurodata,df-dn-paper,Jupyter Notebook,MIT,neurips_2021,FALSE,FALSE,FALSE
rfonod,deepsleep2,Jupyter Notebook,MIT,NA,FALSE,FALSE,FALSE
Doodleverse,dash_doodler,Python,MIT,zenodo-release,FALSE,FALSE,FALSE
aspeddro,siconfir,R,NA,v2.0.0,FALSE,FALSE,FALSE
brentp,nim-lapper,Nim,MIT,v0.1.7,FALSE,FALSE,FALSE
LahbabiOfficial,arabic-php,PHP,NA,v6.2.0,FALSE,FALSE,FALSE
aaronm-2112,zenodo-test,NA,NA,v.1.2.3,TRUE,FALSE,TRUE
XQP-Munich,LDPC4QKD,C++,MIT,v1.0.2,FALSE,FALSE,FALSE
HenrikMidtun,AuctionFog,Python,GPL-3.0,NA,FALSE,FALSE,FALSE
aaamini,GMarkov-sampling,R,NA,1.0,FALSE,FALSE,FALSE
gradvohl,laboratorioSO,TeX,CC-BY-4.0,0.4,FALSE,FALSE,FALSE
stroblme,hqsp-qcnn,Python,MIT,1.0,FALSE,FALSE,FALSE
fAndreuzzi,BisPy,Python,MIT,0.2.3,FALSE,FALSE,FALSE
Zuoqiu-Yingyi,widget-drawio,JavaScript,AGPL-3.0,v0.1.4,FALSE,FALSE,FALSE
AlbinSjoegren,SPV,Rust,GPL-3.0,0.6.2,FALSE,FALSE,FALSE
frustea,Quantum-Fast-and-Slow,Python,MIT,NA,FALSE,FALSE,FALSE
soorajachar,plateypus,Python,GPL-3.0,v0.3.11,FALSE,FALSE,FALSE
HugoLat,Pybullet_drones_Hex,Python,NA,NA,FALSE,FALSE,FALSE
douweschulte,pdbtbx,Rust,MIT,v0.9.1,FALSE,FALSE,FALSE
ananzeng,T-Brain-Machine-Learning-Competition-Traditional-Chinese-Scene-Character-Recognition-Contest-Advance,Python,Apache-2.0,NA,FALSE,FALSE,FALSE
nikku1234,Computer-Vision,JavaScript,MIT,NA,FALSE,FALSE,FALSE
ICEI-PUC-Minas-PPLES-TI,PLF-ES-2021-2-TI1-7924100-criptomoedas-2,HTML,CC-BY-4.0,NA,FALSE,FALSE,FALSE
zincware,ZnVis,Python,EPL-2.0,v0.0.1,FALSE,FALSE,FALSE
ami-iit,paper_surname_YEAR_journal_short-paper-name,NA,BSD-3-Clause,NA,FALSE,FALSE,FALSE
aehrc,pathling,Java,NA,v5.0.0,FALSE,FALSE,FALSE
paloma-git,COVID19_finalproject,Python,NA,NA,FALSE,FALSE,FALSE
erdogant,clustimage,Jupyter Notebook,NA,1.4.3,FALSE,FALSE,FALSE
openml-labs,gama,Python,Apache-2.0,v20.2.1,FALSE,FALSE,FALSE
Princeton-CDH,mep-django,Python,Apache-2.0,1.5.5,FALSE,FALSE,TRUE
hh-wu,EMOT,NA,GPL-3.0,1.0.0,FALSE,FALSE,FALSE
simonjackman,sportsbet,R,NA,NA,FALSE,FALSE,FALSE
BlakeGerard,qrane,C++,CC-BY-SA-4.0,NA,FALSE,FALSE,FALSE
tum-phoenix,reinforcement-learning-fc,Python,NA,NA,FALSE,FALSE,FALSE
KevinOluoch,yieldest,R,NA,NA,FALSE,FALSE,FALSE
edalarconb,EmpiricalEvidence,R,NA,NA,FALSE,FALSE,FALSE
benvanwerkhoven,kernel_tuner,Python,Apache-2.0,v0.0.1-beta,FALSE,FALSE,TRUE
hczhang1,test_CI,NA,Apache-2.0,NA,FALSE,FALSE,FALSE
josersinacio,EnceladusBigData,Python,MIT,NA,FALSE,FALSE,FALSE
openmc-data-storage,openmc_data_downloader,Python,MIT,v0.5.2,FALSE,FALSE,FALSE
UA-RCL,RANC,VHDL,MIT,NA,FALSE,FALSE,FALSE
digitallinguistics,data-explorer,JavaScript,MIT,v0.1.0,FALSE,FALSE,FALSE
kateharborne,SimSpin,R,LGPL-3.0,v2.1.0,FALSE,FALSE,FALSE
Mozartuss,DEAP-Emotion-Recognition,Python,Apache-2.0,NA,FALSE,FALSE,FALSE
frankfsa6,MicroarreglosDNA,nesC,GPL-3.0,NA,FALSE,FALSE,FALSE
neonbjb,tts-scores,Python,NA,NA,FALSE,FALSE,FALSE
BonnieMcLean,IconicityMeasuresJaponic,HTML,MIT,r20220127,FALSE,FALSE,FALSE
faantoniadou,Visualising-the-Cosmos,Python,NA,NA,FALSE,FALSE,FALSE
Phanxv,Microcontroller,C++,NA,NA,FALSE,FALSE,FALSE
XpeHo3eM,Learning_CPP,C++,NA,NA,FALSE,FALSE,FALSE
bkahlert,bats-wrapper,Shell,MIT,v0.1.4,FALSE,FALSE,FALSE
ICEI-PUC-Minas-PPLES-TI,PLF-ES-2021-2-TI1-7924100-adocao-de-animais-1,HTML,CC-BY-4.0,NA,FALSE,FALSE,FALSE
ChristophH,riffle,R,GPL-3.0,NA,FALSE,FALSE,FALSE
hisham-sid,NetPixel_P4,P4,NA,NA,FALSE,FALSE,FALSE
gustavlagneborg,Chemception2.0_Pipeline,PureBasic,NA,NA,FALSE,FALSE,FALSE
extratone,bilge,HTML,NA,3.1,FALSE,FALSE,FALSE
openagua,engine-example-slop,Python,NA,NA,FALSE,FALSE,FALSE
sabeesh90,Multimodal_Deep_Learning,Jupyter Notebook,NA,NA,FALSE,FALSE,FALSE
lsterzinger,2022-modeling-tenuous-arctic-clouds,Jupyter Notebook,MIT,0.1.3,FALSE,FALSE,FALSE
wsmoses,Enzyme-GPU-Tests,LLVM,NA,0.1.0,FALSE,FALSE,FALSE
palaciosnrps,automl-rs-project,Python,NA,NA,FALSE,FALSE,FALSE
nvitucci,calcite-sparql,Java,NA,v0.0.2,FALSE,FALSE,FALSE
nano-optics,terms,Fortran,MPL-2.0,v1.0.0,FALSE,FALSE,FALSE
samIndeed,Symmetries,Python,NA,NA,FALSE,FALSE,FALSE
jacknot,sync_move_collision_avoidance_robot_planner,Python,Apache-2.0,NA,FALSE,FALSE,FALSE
bgonzalezbustamante,chilean-undersecretaries,R,CC-BY-4.0,v2.1.3,FALSE,FALSE,FALSE
Fusion-Power-Plant-Framework,bluemira,Python,LGPL-2.1,NA,FALSE,FALSE,FALSE
ready4-dev,ttu_lng_aqol6_csp,Lua,GPL-3.0,v0.0.90,FALSE,FALSE,FALSE
joycenerd,mmdet-nucleus-instance-segmentation,Python,MIT,NA,FALSE,FALSE,FALSE
swegger,SE_SL_2022,MATLAB,MIT,v1.0.0,FALSE,FALSE,FALSE
RenzoCab,Simulation-Gear-Belt,MATLAB,MIT,NA,FALSE,FALSE,FALSE
bycycle-tools,bycycle,Python,Apache-2.0,1.0.0,FALSE,FALSE,FALSE
seanpm2001,SeansLifeArchive_Images_GitHub_Y2022,Ruby,GPL-3.0,NA,FALSE,FALSE,FALSE
BeeGass,Readable-GANs,Python,NA,NA,FALSE,FALSE,FALSE
vproc,vicuna,Assembly,NA,NA,FALSE,FALSE,FALSE
OldScripter,Task_32_2,C++,NA,NA,FALSE,FALSE,FALSE
roopekoo,Kinect3D,C++,MIT,NA,FALSE,FALSE,FALSE
ICEI-PUC-Minas-PPLES-TI,PLF-ES-2021-2-TI1-7924100-rotas-gps-1,JavaScript,CC-BY-4.0,NA,FALSE,FALSE,FALSE
balouf,gismo,Python,NA,v0.4.1,FALSE,FALSE,FALSE
KayakDov,An-Algorithm-for-Trees-a-Generalization-of-Distance-Domination,Java,NA,NA,FALSE,FALSE,FALSE
ssstolk,evoke-api,NA,GPL-3.0,NA,FALSE,FALSE,FALSE
seanpm2001,Camera-privacy-specification,Markdown,GPL-3.0,V3.0,FALSE,FALSE,FALSE
PieterMaaaan,Internship_Siemens_repo,nesC,NA,NA,FALSE,FALSE,FALSE
nachifur,MulimgViewer,Python,GPL-3.0,v3.9.6,FALSE,FALSE,FALSE
r-pad,OSSID_code,Python,MIT,NA,FALSE,FALSE,FALSE
rehohoho,mmaction2,Python,Apache-2.0,NA,FALSE,FALSE,FALSE
fvalle1,keywordTCGA,Jupyter Notebook,GPL-3.0,NA,FALSE,FALSE,FALSE
ryanxingql,powerqe,Python,Apache-2.0,v2.0.0,FALSE,FALSE,FALSE
sunxb05,pyworld,Python,Apache-2.0,NA,FALSE,FALSE,FALSE
gkanogiannis,CassavaDiversityCIAT,R,GPL-3.0,v1.0.0,FALSE,FALSE,FALSE
cheginit,async_retriever,Python,NA,v0.3.2,FALSE,FALSE,FALSE
dindin28,CryptoTerminal,C,NA,NA,FALSE,FALSE,FALSE
aldma,HALeqO.jl,Julia,MIT,v0.2.0,FALSE,FALSE,FALSE
lanceseidman,ropsten-faucet,JavaScript,MIT,NA,FALSE,FALSE,FALSE
mosdef-hub,foyer,Python,MIT,paper1,FALSE,FALSE,FALSE
CelticLite,OnlineVote,Go,NA,NA,FALSE,FALSE,FALSE
complexdatacollective,Server,JavaScript,GPL-3.0,v6.1.1,FALSE,FALSE,FALSE
testingautomated-usi,uncertainty-wizard,Python,MIT,v0.2.0,FALSE,FALSE,FALSE
jara001,ng_trajectory,Python,GPL-3.0,v1.5.3,FALSE,FALSE,FALSE
danielvilasgonzalez,SS_Mgag,Scheme,NA,NA,FALSE,FALSE,FALSE
meduselchen,BAthesis-3Dprinting,NA,GPL-3.0,NA,FALSE,FALSE,FALSE
omelchert,py-ecpn,Python,NA,NA,FALSE,FALSE,FALSE
sammmlow,quadrant,Python,MIT,NA,FALSE,FALSE,FALSE
ZJUTSong,Ifly-XRay-Detection,Python,NA,NA,FALSE,FALSE,FALSE
SticsRPacks,CroptimizR,R,NA,v0.4.0,FALSE,FALSE,FALSE
hlfreund,Amplicon_Sequencing_Worfklow,R,NA,v1.0.0,FALSE,FALSE,FALSE
Hongyang449,DeepSleep,Python,NA,NA,FALSE,FALSE,FALSE
bids-standard,pybv,Python,BSD-3-Clause,v0.6.0,FALSE,FALSE,FALSE
AI4Bharat,OpenHands,Python,Apache-2.0,checkpoints_v1,FALSE,FALSE,FALSE
aadler,Delaporte,R,NA,v8.0.2,FALSE,FALSE,FALSE
bkuhlmann,docker-alpine-ruby,Dockerfile,NA,1.1.7,FALSE,FALSE,FALSE
filipeloyola,COVID-19_severity_prognosis,Jupyter Notebook,MIT,0.1.0,FALSE,FALSE,FALSE
jeromerony,adversarial-library,Python,BSD-3-Clause,v0.1.1,FALSE,FALSE,FALSE
PAMepi,PAMEpi-Reproducibility-of-published-results,Jupyter Notebook,MIT,v1.0,FALSE,FALSE,FALSE
Jessmin,mmdetection-Competition,Python,Apache-2.0,NA,FALSE,FALSE,FALSE
tum-i4,disa-windows-server-2019,NA,GPL-3.0,NA,TRUE,FALSE,FALSE
